epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,291.396,1.69178,2.4606,1.55377,0.39784,0.35672,0.32034,0.1299,1.69411,8.55805,1.51699,0.00055515,0.00055515,0.00055515
2,505.958,1.74559,1.92888,1.58489,0.44064,0.4205,0.37852,0.17009,1.62577,9.54746,1.48701,0.00107416,0.00107416,0.00107416
3,720.529,1.7169,1.85788,1.57104,0.49634,0.4306,0.41634,0.18795,1.61382,5.26741,1.43781,0.0015565,0.0015565,0.0015565
4,934.206,1.68524,1.77783,1.54549,0.51525,0.4524,0.44744,0.20667,1.51161,3.37404,1.35507,0.00150197,0.00150197,0.00150197
5,1150.25,1.64091,1.69801,1.51874,0.56088,0.52095,0.53417,0.25564,1.51153,4.61403,1.35847,0.00144696,0.00144696,0.00144696
6,1370.39,1.61564,1.62588,1.4939,0.56215,0.51064,0.53455,0.25749,1.47279,3.47499,1.31868,0.00139195,0.00139195,0.00139195
7,1587.19,1.58694,1.57773,1.47508,0.60323,0.5408,0.56663,0.29138,1.41748,2.99775,1.29481,0.00133693,0.00133693,0.00133693
8,1803.18,1.57202,1.52833,1.45895,0.60825,0.5651,0.58942,0.30048,1.44043,3.61813,1.31689,0.00128192,0.00128192,0.00128192
9,2019.07,1.54892,1.48666,1.44775,0.59728,0.54523,0.57682,0.3003,1.39585,3.68458,1.29486,0.00122691,0.00122691,0.00122691
10,2237.35,1.53581,1.45675,1.43625,0.63979,0.58029,0.62618,0.32617,1.35739,2.1574,1.24953,0.0011719,0.0011719,0.0011719
11,2453.92,1.52257,1.43571,1.42194,0.66119,0.58019,0.63566,0.33718,1.37504,2.62342,1.25668,0.00111689,0.00111689,0.00111689
12,2669.23,1.50855,1.40008,1.41161,0.65385,0.60703,0.65477,0.35193,1.34118,2.44605,1.23222,0.00106188,0.00106188,0.00106188
13,2885.17,1.48999,1.3908,1.39972,0.64967,0.60581,0.65556,0.34948,1.32257,2.14135,1.20336,0.00100687,0.00100687,0.00100687
14,3100.85,1.47375,1.34422,1.38673,0.66464,0.61784,0.66384,0.35808,1.33296,2.1687,1.23041,0.000951857,0.000951857,0.000951857
15,3317.82,1.46845,1.33283,1.38829,0.67126,0.63366,0.67927,0.37194,1.30684,2.08957,1.19788,0.000896846,0.000896846,0.000896846
16,3533.52,1.45966,1.30907,1.38133,0.68273,0.62926,0.68174,0.37366,1.3166,1.95515,1.21422,0.000841835,0.000841835,0.000841835
17,3748.14,1.43425,1.28971,1.36907,0.68761,0.63701,0.69281,0.37811,1.29547,1.89929,1.1884,0.000786824,0.000786824,0.000786824
18,3964.36,1.44101,1.28401,1.36337,0.68922,0.6372,0.70125,0.38674,1.26904,1.94679,1.16202,0.000731813,0.000731813,0.000731813
19,4181.41,1.4233,1.25512,1.35777,0.70279,0.64793,0.70609,0.3913,1.27279,1.69363,1.1791,0.000676802,0.000676802,0.000676802
20,4397.06,1.40756,1.24021,1.34648,0.70162,0.64828,0.71054,0.39569,1.26201,1.65778,1.1618,0.000621791,0.000621791,0.000621791
21,4601.2,1.45839,1.21411,1.38076,0.70406,0.6526,0.71794,0.40222,1.25738,1.65311,1.15372,0.00056678,0.00056678,0.00056678
22,4803.75,1.44187,1.17633,1.37731,0.71823,0.65394,0.72461,0.40718,1.2549,1.45507,1.1585,0.000511769,0.000511769,0.000511769
23,5006.01,1.42486,1.14831,1.36436,0.73009,0.64697,0.72362,0.40743,1.2381,1.50752,1.14206,0.000456758,0.000456758,0.000456758
24,5207.77,1.41192,1.12771,1.35101,0.72389,0.65257,0.72428,0.40995,1.23614,1.3385,1.14123,0.000401747,0.000401747,0.000401747
25,5412.95,1.40368,1.10387,1.34456,0.71686,0.68037,0.73388,0.41636,1.23137,1.29239,1.13921,0.000346736,0.000346736,0.000346736
26,5616.71,1.38126,1.07029,1.3349,0.71646,0.6749,0.73418,0.41934,1.23915,1.22615,1.14354,0.000291725,0.000291725,0.000291725
27,5820.92,1.37149,1.05563,1.32703,0.71258,0.67903,0.73664,0.41749,1.23574,1.20571,1.14032,0.000236714,0.000236714,0.000236714
28,6026,1.36574,1.04332,1.32565,0.7283,0.67476,0.74096,0.42215,1.23163,1.1699,1.1389,0.000181703,0.000181703,0.000181703
29,6232.08,1.33607,1.01453,1.30804,0.72348,0.68594,0.74277,0.42239,1.22863,1.15222,1.13717,0.000126692,0.000126692,0.000126692
30,6437.74,1.3287,1.00374,1.30064,0.73971,0.68245,0.74697,0.42494,1.22805,1.12604,1.13863,7.1681e-05,7.1681e-05,7.1681e-05
