epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,405.656,1.72929,2.119,1.58664,0.37689,0.36927,0.30824,0.12743,1.75167,16.9012,1.60868,0.00055515,0.00055515,0.00055515
2,747.162,1.7775,1.93264,1.62275,0.43554,0.40347,0.35594,0.15313,1.70528,8.10486,1.57525,0.00107416,0.00107416,0.00107416
3,1085.76,1.73337,1.85594,1.58978,0.47045,0.4371,0.40412,0.17671,1.65058,4.07324,1.48981,0.0015565,0.0015565,0.0015565
4,1422.36,1.69417,1.78156,1.55705,0.51883,0.43761,0.44204,0.20874,1.52261,3.70694,1.36237,0.00150197,0.00150197,0.00150197
5,1759.36,1.64274,1.67738,1.51675,0.57854,0.5079,0.52508,0.25532,1.45323,5.51773,1.32289,0.00144696,0.00144696,0.00144696
6,2097.39,1.60904,1.60835,1.49193,0.58064,0.53445,0.55401,0.27483,1.44989,3.0897,1.30264,0.00139195,0.00139195,0.00139195
7,2435.01,1.58142,1.55459,1.46706,0.61703,0.5621,0.59797,0.30925,1.39696,3.28137,1.29138,0.00133693,0.00133693,0.00133693
8,2771.86,1.55512,1.50054,1.45449,0.65239,0.57773,0.62742,0.32473,1.40312,2.90884,1.27259,0.00128192,0.00128192,0.00128192
9,3108.52,1.5407,1.46031,1.43767,0.63162,0.57753,0.6112,0.31733,1.37117,3.65108,1.24871,0.00122691,0.00122691,0.00122691
10,3445.18,1.52638,1.44338,1.43058,0.63942,0.58409,0.63107,0.33962,1.37295,2.68098,1.27118,0.0011719,0.0011719,0.0011719
11,3782.48,1.50879,1.4184,1.41494,0.66069,0.6002,0.65399,0.34692,1.32626,2.74195,1.22059,0.00111689,0.00111689,0.00111689
12,4119.21,1.4999,1.38031,1.41051,0.66902,0.59822,0.65262,0.34701,1.31965,1.95066,1.20282,0.00106188,0.00106188,0.00106188
13,4455.47,1.47642,1.35946,1.39215,0.66627,0.62792,0.68096,0.36732,1.32289,2.27994,1.20926,0.00100687,0.00100687,0.00100687
14,4792.04,1.45923,1.32996,1.38055,0.6788,0.62247,0.68211,0.37591,1.30452,2.46177,1.21176,0.000951857,0.000951857,0.000951857
15,5128.86,1.45128,1.30499,1.38342,0.71291,0.61006,0.6978,0.38378,1.2907,2.24464,1.20222,0.000896846,0.000896846,0.000896846
16,5466.16,1.44064,1.28381,1.37163,0.70339,0.62704,0.70066,0.38086,1.2978,2.20782,1.19565,0.000841835,0.000841835,0.000841835
17,5803.28,1.42313,1.25885,1.36301,0.70453,0.65112,0.71503,0.39254,1.2729,2.01516,1.17065,0.000786824,0.000786824,0.000786824
18,6139.72,1.42737,1.25922,1.36057,0.71068,0.6481,0.71902,0.40102,1.26073,1.85524,1.16495,0.000731813,0.000731813,0.000731813
19,6476.79,1.40379,1.23036,1.34908,0.71301,0.65306,0.72177,0.40568,1.24878,1.85111,1.1537,0.000676802,0.000676802,0.000676802
20,6813.47,1.38857,1.20204,1.34099,0.72382,0.66058,0.73104,0.41135,1.24793,1.72395,1.15856,0.000621791,0.000621791,0.000621791
21,7147.42,1.44273,1.16396,1.37857,0.72064,0.67011,0.74112,0.41392,1.25812,1.75772,1.16194,0.00056678,0.00056678,0.00056678
22,7480.74,1.42751,1.13445,1.37028,0.71251,0.66662,0.73492,0.41513,1.24873,1.47733,1.16851,0.000511769,0.000511769,0.000511769
23,7812.89,1.40851,1.11393,1.36447,0.73524,0.67097,0.74217,0.42165,1.22551,1.44725,1.15034,0.000456758,0.000456758,0.000456758
24,8145.66,1.38888,1.0878,1.34543,0.72947,0.6831,0.7456,0.42349,1.21551,1.35342,1.13843,0.000401747,0.000401747,0.000401747
25,8478.76,1.37741,1.06051,1.33726,0.7361,0.68439,0.75078,0.42741,1.2301,1.38899,1.14935,0.000346736,0.000346736,0.000346736
26,8811.94,1.35249,1.03088,1.32301,0.74714,0.68104,0.75258,0.4308,1.21462,1.25179,1.13305,0.000291725,0.000291725,0.000291725
27,9145.37,1.33779,1.00864,1.31192,0.76192,0.67896,0.75911,0.43293,1.21306,1.18222,1.13592,0.000236714,0.000236714,0.000236714
28,9478.41,1.33266,0.99166,1.30922,0.75974,0.67931,0.75988,0.43576,1.20674,1.25062,1.12897,0.000181703,0.000181703,0.000181703
29,9811.49,1.30492,0.96471,1.29289,0.75906,0.68669,0.76391,0.43927,1.20589,1.15185,1.12877,0.000126692,0.000126692,0.000126692
30,10144.2,1.29665,0.94662,1.28493,0.75998,0.69533,0.76784,0.44166,1.20473,1.11813,1.12548,7.1681e-05,7.1681e-05,7.1681e-05
